Delta_Secs, Player_Loc, Collision_Zone_loc, DTC_uu, Estimated_Gaze_FV
0.067248,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066403,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066815,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066561,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.0667,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066489,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066653,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066894,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066324,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066791,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066937,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066532,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066463,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067093,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066283,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.070733,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.062897,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066299,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.070656,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.062978,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066421,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067168,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066601,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066516,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066847,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066616,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066735,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066624,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.06681,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066099,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066621,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067105,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067662,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.06494,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.067171,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
0.066666,X=110.050 Y=-187.400 Z=49.759,X=150.000 Y=-560.000 Z=60.000,374.875291,X=1.000 Y=0.000 Z=0.000
